PLANT,HUMIDITY,GROWTH,DRYNESS,DEC
CAULIFLOWER,43,94,4,YES
CABBAGE,17,99,9,NO
CABBAGE,25,106,11,NO
CABBAGE,47,118,17,NO
CABBAGE,22,103,19,NO
CABBAGE,55,112,20,NO
CABBAGE,13,110,22,NO
CABBAGE,20,100,22,NO
CABBAGE,11,113,25,NO
CABBAGE,55,95,26,NO
CABBAGE,12,109,27,NO
CABBAGE,18,119,28,NO
CABBAGE,29,90,29,NO
CAULIFLOWER,23,99,30,NO
MUSHROOM,53,94,30,NO
CAULIFLOWER,28,120,31,NO
MUSHROOM,29,91,34,NO
CAULIFLOWER,34,121,34,NO
CAULIFLOWER,33,110,36,NO
MUSHROOM,52,102,36,NO
CAULIFLOWER,52,116,36,NO
CAULIFLOWER,26,118,37,NO
MUSHROOM,59,112,41,NO
MUSHROOM,51,90,42,NO
MUSHROOM,22,91,43,NO
CAULIFLOWER,62,114,43,NO
CAULIFLOWER,78,97,43,NO
MUSHROOM,60,92,44,NO
CAULIFLOWER,88,112,44,NO
CAULIFLOWER,12,111,45,NO
CAULIFLOWER,53,113,48,NO
CAULIFLOWER,68,104,51,NO
MUSHROOM,7,117,52,NO
CAULIFLOWER,51,113,54,NO
PUMPKIN,20,89,69,YES
CAULIFLOWER,16,102,55,NO
PUMPKIN,21,63,23,YES
MUSHROOM,13,111,56,NO
CAULIFLOWER,22,95,57,NO
MUSHROOM,8,104,58,NO
PUMPKIN,23,26,19,YES
CAULIFLOWER,58,106,62,NO
PUMPKIN,24,68,7,YES
PUMPKIN,25,66,96,NO
CAULIFLOWER,55,99,63,NO
MUSHROOM,74,104,67,NO
PUMPKIN,28,34,68,YES
CAULIFLOWER,57,102,68,NO
PUMPKIN,29,29,61,YES
PUMPKIN,46,90,70,NO
CABBAGE,46,93,70,NO
CAULIFLOWER,29,105,71,NO
PUMPKIN,30,28,31,YES
MUSHROOM,30,67,24,YES
PUMPKIN,30,96,30,NO
CABBAGE,30,89,30,YES
CABBAGE,31,62,40,YES
PUMPKIN,31,65,34,YES
MUSHROOM,31,81,17,YES
MUSHROOM,31,89,29,YES
MUSHROOM,32,20,19,YES
CABBAGE,32,25,50,YES
MUSHROOM,32,90,22,NO
MUSHROOM,32,56,7,YES
CABBAGE,33,15,50,YES
